Type,Name,Longitude,Latitude
Supermarkets,Hemköp Jönköping C,14.1631771,57.7829436
Supermarkets,Edeka Frischemarkt Norddorf,8.3326532,54.6796829
Supermarkets,Lidl Risskov,10.2449033,56.2016084
Supermarkets,365discount Jægerspris,11.9849120,55.8550445
Supermarkets,MinKøbmand,8.7195967,55.4357479
Supermarkets,Coop Klostergården,13.1791905,55.6930411
Supermarkets,Matboden,13.3955240,55.9027456
Supermarkets,Coop Mårtenstorget,13.1972968,55.7015899
Supermarkets,ICA Supermarket Eksjö,14.9766674,57.6655203
Supermarkets,Dagli Brugsen Herman Bangs Plads,12.5032520,55.6673220
Supermarkets,Coop Tessins Väg,12.9754885,55.6004566
Supermarkets,ICA Supermarket Olskroken,12.0005777,57.7149085
Supermarkets,EDEKA Jürgensen,9.3218561,54.7702790
Supermarkets,ICA Maxi Torslanda,11.7722174,57.7097178
Supermarkets,Coop Gamlestaden,12.0141887,57.7297966
Supermarkets,Coop Landala,11.9711734,57.6932839
Supermarkets,Coop Munkebäckstorg,12.0259685,57.7189374
Supermarkets,Extra Mjällby,14.6743561,56.0443279
Supermarkets,Hemköp Malmö Kronprinsen,12.9843816,55.5985953
Supermarkets,Coop Köpenhamnsvägen,12.9861371,55.5932973
Supermarkets,Willys Hemma,13.1925084,55.7025624
Supermarkets,Maxi ICA Stormarknad Västra Hamnen,12.9801942,55.6118250
Supermarkets,Coop Norrahammar,14.1182277,57.7047352
Supermarkets,Coop Taberg,14.0886076,57.6787242
Supermarkets,365discount Roskilde Skomagergade,12.0771952,55.6406868
Supermarkets,Coop Gnosjö,13.7335037,57.3581238
Supermarkets,ICA Supermarket Gnosjö,13.7318580,57.3563600
Supermarkets,Hulthallen,15.1313392,57.6424577
Supermarkets,Coop Odinsgatan,11.9789977,57.7089149
Supermarkets,Bazaar Food Market,13.0460078,55.5865697
Supermarkets,SuperBrugsen Erslev,8.7171062,56.8365843
Supermarkets,Sösdala Livs,13.6794339,56.0366053
Supermarkets,Coop Traryd,13.7468523,56.5782078
Supermarkets,Coop Karolingatan,13.0648412,55.5821689
Supermarkets,Hemköp Kungsbacka Torget,12.0767063,57.4865451
Supermarkets,Rema 1000 Farsø,9.3430195,56.7721860
Supermarkets,Rema 1000 Holstebro Døesvej,8.6087526,56.3649516
Supermarkets,Rema 1000 Kjellerup,9.4291635,56.2876573
Supermarkets,Rema 1000 Vesterport,12.5633231,55.6753798
Supermarkets,Rema 1000 Nørresundby,9.9192713,57.0595199
Supermarkets,ICA Toppen,11.9316418,57.6796999
Supermarkets,Rema 1000 Ølby Centret,12.1748510,55.4784689
Supermarkets,EDEKA Viktor Haan,9.4378300,54.7825042
Supermarkets,DagliBrugsen Brydes Allé,12.5972507,55.6583835
Supermarkets,ICA Supermarket Cityhallen,14.8072200,56.8778530
Supermarkets,Netto Nykøbing Sjælland,11.6675860,55.9231491
Supermarkets,SuperBrugsen Vamdrup,9.2841983,55.4273917
Supermarkets,Coop Skånegatan,11.9850999,57.7005431
Supermarkets,ICA Kvantum Hovås,11.9532896,57.5989282
Supermarkets,Inter Mat,13.7878855,56.1669635
Supermarkets,Handlarn Ätran,12.9485295,57.1221288
Supermarkets,Prinz BioMarkt,9.9307113,54.6621587
Supermarkets,Coop Konsum Avenyn,11.9771721,57.6994062
Supermarkets,Hemköp Göteborg Vasagatan,11.9680177,57.6986130
Supermarkets,PENNY Weiche,9.3962089,54.7586927
Supermarkets,Netto Marken-Discount,9.4233097,54.7835388
Supermarkets,Coop Bjuv,12.9146232,56.0872965
Supermarkets,Købmand Nord,10.1785626,56.1774571
Supermarkets,Netto Korsørgade,12.5803833,55.7073925
Supermarkets,Överskottsbolaget,13.7932320,55.4368980
Supermarkets,Salling,10.2070626,56.1541716
Supermarkets,ICA Supermarket Ingelstad,14.9199460,56.7465470
Supermarkets,ICA Nära Heden,11.9824100,57.7020582
Supermarkets,Willy's Hemma,11.9757732,57.7009905
Supermarkets,MENY Karlslunde,12.2690246,55.5668931
Supermarkets,Hemköp Tyringe,13.6044433,56.1612961
Supermarkets,Coop Mölnlycke,12.1156251,57.6584579
Supermarkets,Hemköp Göteborg Mölnlycke,12.1141000,57.6581000
Supermarkets,StudioV19,14.6993854,57.5077128
Supermarkets,ICA Supermarket Hovshaga,14.7974237,56.9093532
Supermarkets,Bazar Slagelse,11.3531251,55.4056052
Supermarkets,Dige Lavpris,8.6950241,56.7023898
Supermarkets,Istanbul Bazar,12.5331530,55.7026557
Supermarkets,Coop Västra Hamnen,12.9838179,55.6156836
Supermarkets,Coop Höllviken,12.9522157,55.4173810
Supermarkets,Hemköp Helsingborg Rydebäck,12.7750000,55.9663000
Supermarkets,Coop Mjörnbotorget,12.2988752,57.8358390
Supermarkets,Hemköp Malmö Triangeln,13.0034464,55.5955238
Supermarkets,Coop Kristinatorget,14.8203635,56.8838378
Supermarkets,Coop Södra Ringvägen,14.7969623,56.8719672
Supermarkets,Bonum,12.2992839,57.8361889
Supermarkets,ICA Supermarket Hjällbo,12.0204218,57.7690436
Supermarkets,MENY Rugårdsvej,10.3276723,55.4123775
Supermarkets,Orient Food,11.9374550,57.7216873
Supermarkets,Willys Partille C,12.1064000,57.7399000
Supermarkets,REWE Hansen,9.4386015,54.7835824
Supermarkets,ICA Nära Perssons livs,13.3742878,55.3928592
