Type,Name,Longitude,Latitude
Public Transport Stations,Ingelstad centrum,14.9211717,56.7452151
Public Transport Stations,Brösarp,14.1254269,55.7349713
Public Transport Stations,Frederikshavnsvej,10.5634573,57.7246845
Public Transport Stations,Jerup,10.4171808,57.5320982
Public Transport Stations,Strandby,10.4900500,57.4899627
Public Transport Stations,Rimmen,10.4453825,57.5047875
Public Transport Stations,Ålbæk,10.4082686,57.5924007
Public Transport Stations,Bunken,10.4394377,57.6301229
Public Transport Stations,Hulsig,10.4633661,57.6596943
Public Transport Stations,Hornslet,10.3136376,56.3205403
Public Transport Stations,Gröde Ostanleger,8.7290372,54.6294518
Public Transport Stations,Herning,8.9782986,56.1325451
Public Transport Stations,Lem,8.3859305,56.0250863
Public Transport Stations,Ringkøbing,8.2505079,56.0928359
Public Transport Stations,Sindal,10.2021794,57.4700429
Public Transport Stations,Tornby,9.9496021,57.5329636
Public Transport Stations,Vidstrup,9.9475790,57.5018957
Public Transport Stations,Holbæk,11.7080223,55.7155286
Public Transport Stations,Jægerhuset,12.4415498,55.8089216
Public Transport Stations,Bagsværdvej,12.4593890,55.7665781
Public Transport Stations,MS Thor,14.9709917,55.2125722
Public Transport Stations,Guldager,8.4404779,55.5359562
Public Transport Stations,Borup,11.9720903,55.4946244
Public Transport Stations,Hundested,11.8527389,55.9636015
Public Transport Stations,Gilleleje,12.3022774,56.1236140
Public Transport Stations,Ringsted,11.7860978,55.4380663
Public Transport Stations,Slagelse,11.3485562,55.4075014
Public Transport Stations,Odder - Busterminal,10.1501619,55.9714832
Public Transport Stations,Holte Havn,12.4682462,55.8100405
Public Transport Stations,Grenaa,10.8804542,56.4127390
Public Transport Stations,Landskrona,12.8575136,55.8790784
Public Transport Stations,Havdrup,12.1171736,55.5436649
Public Transport Stations,Roskilde Festivalplads,12.0700543,55.6221133
Public Transport Stations,Ramme,8.2105268,56.4889128
Public Transport Stations,Boulevarden,8.4601580,55.6238156
Public Transport Stations,Hyllerslev,8.4007068,55.6263151
Public Transport Stations,Baunhøj,8.2830027,55.6358524
Public Transport Stations,Løftgård,8.3530239,55.7294724
Public Transport Stations,Fåre,8.2617436,56.4539623
Public Transport Stations,Bohus centrum,12.0150335,57.8514227
Public Transport Stations,Kinna resecentrum,12.6969414,57.5057013
Public Transport Stations,Varde,8.4844330,55.6159258
Public Transport Stations,Bågø - Assens,9.8896055,55.2703253
Public Transport Stations,Kungsbacka station,12.0794160,57.4905121
Public Transport Stations,Bogense Rutebilstation,10.0862779,55.5649820
Public Transport Stations,Femøren,12.6383380,55.6451882
Public Transport Stations,Amager Strand,12.6318585,55.6561353
Public Transport Stations,Kastrup,12.6469508,55.6357222
Public Transport Stations,Bella Center,12.5829260,55.6380729
Public Transport Stations,Øresund,12.6287182,55.6614401
Public Transport Stations,DR Byen,12.5890175,55.6557682
Public Transport Stations,Sundby,12.5857172,55.6452516
Public Transport Stations,Islands Brygge,12.5852113,55.6634112
Public Transport Stations,Lystrup,10.2351986,56.2310704
Public Transport Stations,Løgten,10.3172907,56.2757352
Public Transport Stations,Mørke,10.3760183,56.3393280
